genes,aliases
EXTL3,"['Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase', 'BOTV', 'REG receptor', 'EXT-related protein 1', 'Hereditary multiple exostoses gene isolog', 'EXT-related 1', 'ISDNA', 'exostosin like glycosyltransferase 3', 'exostosin tumor-like 3', 'epididymis secretory sperm binding protein', 'KIAA0519', 'EC 2.4.1.223']"
EYA1,"['EYA transcriptional coactivator and phosphatase 1', 'eyes absent (Drosophila) homolog 1', 'BOS1', 'EC 3.1.3.16']"
EYA2,"['EYA transcriptional coactivator and phosphatase 2', 'EAB1', 'eyes absent (Drosophila) homolog 2', 'EC 3.1.3.48']"
EYA3,"['EYA transcriptional coactivator and phosphatase 3', 'DKFZp686C132', 'eyes absent (Drosophila) homolog 3', 'EC 3.1.3.48']"
EYA4,"['EYA transcriptional coactivator and phosphatase 4', 'eyes absent (Drosophila) homolog 4', 'CMD1J', 'DFNA10', 'eyes absent-like protein 4', 'EC 3.1.3.48']"
EYS,"['eyes shut homolog (Drosophila)', 'dJ1018A4.2', 'bA166P24.2', 'bA307F22.3', 'chromosome 6 open reading frame 178', 'Epidermal growth factor-like protein 10', 'retinitis pigmentosa 25 (autosomal recessive)', 'C6orf178', 'EGF-like protein 10', 'EGF-like protein 11', 'RP25', 'Protein spacemaker homolog']"
EZH1,"['enhancer of zeste 1 polycomb repressive complex 2 subunit', 'KIAA0388', 'KMT6B', 'Histone-lysine N-methyltransferase EZH1', 'ENX-2', 'EC 2.1.1.356']"
EZH2,"['enhancer of zeste 2 polycomb repressive complex 2 subunit', 'ENX-1', 'EC 2.1.1', 'KMT6A', 'EZH2b', 'WVS2', 'Histone-lysine N-methyltransferase EZH2', ""EC 2.1.1.43');""]"
EZHIP,"['uncharacterized protein CXorf67', 'catalytic antagonist of Polycomb', 'chromosome X open reading frame 67', 'CXorf67', 'KIP75']"
EZR,"['villin 2 (ezrin)', 'cytovillin 2', 'Cytovillin', 'HEL-S-105', 'epididymis secretory protein Li 105', 'p81']"
F10,"['Coagulation factor X', 'FXA', 'factor Xa', 'prothrombinase', 'EC 3.4.21.6']"
F11,"['Coagulation factor XI', 'FXI', 'Plasma thromboplastin antecedent', 'EC 3.4.21.27']"
F11R,"['Platelet F11 receptor', 'JAM-1', 'CD321 antigen', 'Junctional adhesion molecule 1', 'Platelet adhesion molecule 1']"
F12,"['coagulation factor XII (Hageman factor)', 'HAE3', 'EC 3.4.21.38']"
F13A1,"['bA525O21.1 (coagulation factor XIII, A1 polypeptide)', 'F13A', 'fibrin stabilizing factor, A subunit', 'fibrinoligase', 'coagulation factor XIII, A1 polypeptide', 'Protein-glutamine gamma-glutamyltransferase A chain', 'EC 2.3.2.13']"
F13B,"['Protein-glutamine gamma-glutamyltransferase B chain', 'FXIIIB', 'coagulation factor XIII, B polypeptide', 'TGase']"
F2,"['coagulation factor II (thrombin)', 'RPRGL2', 'THPH1', 'prothrombin B-chain', 'EC 3.4.21.5']"
F2R,"['coagulation factor II (thrombin) receptor', 'HTR', 'CF2R', 'PAR-1']"
F2RL1,"['coagulation factor II (thrombin) receptor-like 1', 'GPR11', 'PAR-2']"
F2RL2,"['Coagulation factor II receptor-like 2 (protease-actovated receptor 3)', 'PAR-3']"
F2RL3,"['coagulation factor II (thrombin) receptor-like 3', 'PAR-4']"
F3,"['coagulation factor III (thromboplastin, tissue factor)', 'CD142 antigen', 'TFA', 'coagulation factor III, tissue factor']"
F5,"['coagulation factor V (proaccelerin, labile factor)', 'FVL', 'PCCF', 'RPRGL1', 'THPH2']"
F7,"['coagulation factor VII (serum prothrombin conversion accelerator)', 'Eptacog alfa', 'Coagulation factor VII', 'Serum prothrombin conversion accelerator', 'EC 3.4.21.21']"
F8,"['coagulation factor VIII, procoagulant component', 'factor VIII F8B', 'DXS1253E', 'hemophilia A', 'coagulation factor VIII A1 domain', 'Antihemophilic factor', 'AHF', 'F8B']"
F8A1,"['coagulation factor VIII-associated (intronic transcript) 1', 'DXS522E', 'F8A', 'HAP40', '40-kDa huntingtin-associated protein']"
F8A2,"['coagulation factor VIII-associated (intronic transcript) 2', 'HAP40', '40-kDa huntingtin-associated protein']"
F8A3,"['coagulation factor VIII-associated (intronic transcript) 3', 'HAP40', '40-kDa huntingtin-associated protein']"
F9,"['Coagulation factor IX', 'Factor IX', 'Plasma thromboplastin component', 'Christmas disease', 'hemophilia B', 'F9 p22', 'P19', 'PTC', 'THPH8', 'EC 3.4.21.22']"
FA2H,"['Fatty acid hydroxylase domain-containing protein 1', 'FAAH', 'FLJ25287', 'spastic paraplegia 35 (autosomal recessive)', 'FAXDC1', 'SCS7', 'SPG35', 'EC 1.14.18.-']"
FAAH,"['Fatty-acid amide hydrolase 1', 'FAAH-1', 'PSAB', 'EC 3.5.1.99']"
FAAH2,"['Fatty-acid amide hydrolase 2', 'RP11-479E16.1', 'FLJ31204', 'FAAH-2', 'Amidase domain-containing protein', 'AMDD', 'EC 3.5.1.99']"
FAAP100,"['Fanconi anemia core complex associated protein 100', 'FLJ22175', 'Fanconi anemia-associated protein of 100 kDa', 'C17orf70']"
FAAP20,"['Fanconi anemia core complex associated protein 20', 'FLJ31031', 'chromosome 1 open reading frame 86', 'C1orf86', 'FP7162']"
FAAP24,"['Fanconi anemia core complex associated protein 24', 'FLJ46828', 'MGC32020', 'Fanconi anemia-associated protein of 24 kDa', 'C19orf40']"
FABP1,"['Liver-type fatty acid-binding protein', 'L-FABP']"
FABP12,['Probable fatty acid-binding protein ENSP00000353650']
FABP2,"['Intestinal-type fatty acid-binding protein', 'I-FABP']"
FABP3,"['fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)', 'FABP11', 'MDGI', 'fatty acid binding protein 3, muscle and heart']"
FABP4,"['Adipocyte-type fatty acid-binding protein', 'A-FABP', 'HEL-S-104', 'fatty acid binding protein 4, adipocyte']"
FABP5,"['Psoriasis-associated fatty acid-binding protein homolog', 'PA-FABP']"
FABP6,"['Intestinal bile acid-binding protein', 'I-BABP', 'Gastrotropin']"
FABP7,"['Brain-type fatty acid-binding protein', 'B-FABP', 'MRG', 'Mammary-derived growth inhibitor related', 'hypothetical protein DKFZp547J2313']"
FABP9,"['Testis-type fatty acid-binding protein', 'PERF15', 'T-FABP']"
FADD,"['FAS-associating death domain-containing protein', 'MORT1', 'GIG3', 'Mediator of receptor induced toxicity', 'IMD90']"
FADS1,"['linoleoyl-CoA desaturase (delta-6-desaturase)-like 1', 'FADSD5', 'TU12', 'LLCDL1', 'EC 1.14.19.44']"
FADS2,"['linoleoyl-CoA desaturase (delta-6-desaturase)-like 2', 'FADSD6', 'TU13', 'SLL0262', 'EC 1.14.19.3']"
FADS3,"['linoleoyl-CoA desaturase (delta-9-desaturase)-like 3', 'CYB5RP', 'LLCDL3', 'cytochrome b5-related protein', 'EC 1.14.19.-']"
FADS6,"['fatty acid desaturase domain family, member 6', 'FP18279', 'EC 1.14.19.-']"
FAF1,"['Fas (TNFRSF6) associated factor 1', 'CGI-03', 'HFAF1s', 'UBXD12', 'UBX domain protein 3A', 'UBX domain-containing protein 12']"
FAF2,"['Fas associated factor family member 2', 'Protein ETEA', 'KIAA0887', 'UBX domain protein 3B', 'expressed in T cells and eosinophils in atopic dermatitis', 'UBX domain-containing protein 3B', 'UBXN3B']"
FAH,"['fumarylacetoacetate hydrolase (fumarylacetoacetase)', 'Fumarylacetoacetate hydrolase', 'epididymis secretory sperm binding protein', 'EC 3.7.1.2']"
FAHD1,"['Fumarylacetoacetate hydrolase domain-containing protein 1', 'DKFZP566J2046', 'chromosome 16 open reading frame 36', 'C16orf36', 'YisK-like protein', 'Acylpyruvase FAHD1, mitochondrial', 'Oxaloacetate decarboxylase', 'FAH domain-containing protein 1', 'EC 4.1.1.112']"
FAHD2A,"['Fumarylacetoacetate hydrolase domain-containing protein 2A', 'CGI-105', 'EC 3.-.-.-']"
FAHD2B,"['Fumarylacetoacetate hydrolase domain-containing protein 2B', 'DKFZp434N062', 'EC 3.-.-.-']"
FAIM,"['Fas apoptotic inhibitory molecule 1', 'FLJ10582', 'FAIM1']"
FAIM2,"['Transmembrane BAX inhibitor motif-containing protein 2', 'KIAA0950', 'NGP35', 'Protein lifeguard 2', 'TMBIM2', 'Fas apoptotic inhibitory molecule 2']"
FAM102A,"['family with sequence similarity 102, member A', 'EEIG1', 'bA203J24.7', 'sym-3 homolog A', 'sym-3 homolog A (C. elegans)', 'Early estrogen-induced gene 1 protein', 'chromosome 9 open reading frame 132', 'C9orf132']"
FAM102B,"['family with sequence similarity 102, member B', 'DKFZp779B126', 'sym-3 homolog B', 'sym-3 homolog B (C. elegans)', 'Protein FAM102B']"
FAM104A,"['family with sequence similarity 104, member A', 'FLJ14775', 'Protein FAM104A']"
FAM104B,"['family with sequence similarity 104, member B', 'FLJ20434', 'chromosome X open reading frame 44', 'CXorf44']"
FAM107A,"['family with sequence similarity 107, member A', 'DRR1', 'Protein TU3A', 'Down-regulated in renal cell carcinoma 1', 'Actin-associated protein FAM107A']"
FAM107B,"['family with sequence similarity 107, member B', 'FLJ45505', 'C10orf45', 'heat shock-inducible tumor small protein', 'chromosome 10 open reading frame 45', 'FAM107B/CDNF fusion']"
FAM110A,"['family with sequence similarity 110, member A', 'bA371L19.3', 'chromosome 20 open reading frame 55', 'C20orf55', 'F10', 'Protein FAM110A']"
FAM110B,"['family with sequence similarity 110, member B', 'MGC39325', 'chromosome 8 open reading frame 72', 'C8orf72', 'Protein FAM110B']"
FAM110C,"['family with sequence similarity 110, member C', 'Protein FAM110C']"
FAM110D,"['family with sequence similarity 110, member D', 'FLJ14050', 'glycine/arginine rich protein 1', 'GRRP1', 'Protein FAM110D']"
FAM111A,"['FAM111 trypsin like peptidase A', 'FLJ22794', 'KIAA1895', 'family with sequence similarity 111 member A', 'GCLEB', 'KCS2', 'Serine protease FAM111A', 'EC 3.4.21.-']"
FAM111B,"['FAM111 trypsin like peptidase B', 'CANP', 'family with sequence similarity 111 member B', 'POIKTMP', 'Cancer-associated nucleoprotein', 'EC 3.4.21.-']"
FAM114A1,"['family with sequence similarity 114, member A1', 'Protein NOXP20', 'Protein FAM114A1', 'nervous system over-expressed protein 20']"
FAM114A2,"['family with sequence similarity 114, member A2', '133K02', 'chromosome 5 open reading frame 3', 'C5orf3', 'Protein FAM114A2', 'testis tissue sperm-binding protein Li 81P']"
FAM117A,"['family with sequence similarity 117, member A', 'C/EBP induced protein', 'Protein FAM117A']"
FAM117B,"['family with sequence similarity 117, member B', 'FLJ38771', 'Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein', 'ALS2CR13', 'Protein FAM117B']"
FAM118A,"['family with sequence similarity 118, member A', 'FLJ20635', 'bK268H5.C22.4', 'chromosome 22 open reading frame 8', 'C22orf8']"
FAM118B,"['family with sequence similarity 118, member B', 'FLJ21103', 'Protein FAM118B']"
FAM120A,"['family with sequence similarity 120A', 'KIAA0183', 'Oxidative stress-associated Src activator', 'chromosome 9 open reading frame 10', 'C9orf10', 'HBVPTPAP', 'Constitutive coactivator of PPAR-gamma-like protein 1']"
FAM120AOS,"['family with sequence similarity 120A opposite strand', 'C9orf10OS', 'chromosome 9 open reading frame 10 opposite strand']"
FAM120B,"['family with sequence similarity 120B', 'PGCC1', 'SAN1', 'Constitutive coactivator of peroxisome proliferator-activated receptor gamma', 'senataxin-associated nuclease 1', 'KIAA1838', 'dJ894D12.1', 'Protein FAM120B']"
FAM120C,"['family with sequence similarity 120C', 'CXorf17', 'FLJ20506', 'chromosome X open reading frame 17', 'Constitutive coactivator of PPAR-gamma-like protein 2', 'Tumor antigen BJ-HCC-21']"
FAM124A,"['family with sequence similarity 124 member A', 'FLJ30707', 'Protein FAM124A']"
FAM124B,"['family with sequence similarity 124 member B', 'FLJ22746', 'Protein FAM124B']"
FAM126A,"['family with sequence similarity 126, member A', 'Down-regulated by CTNNB1 protein A', 'Hyccin', 'HLD5', 'Protein FAM126A']"
FAM126B,"['family with sequence similarity 126, member B', 'MGC39518', 'HYCC2', 'Protein FAM126B']"
FAM131A,"['family with sequence similarity 131, member A', 'MGC21688', 'chromosome 3 open reading frame 40', 'C3orf40', 'FLAT715', 'Protein FAM131A']"
FAM131B,"['family with sequence similarity 131, member B', 'KIAA0773', 'Protein FAM131B']"
FAM131C,"['family with sequence similarity 131, member C', 'FLJ36766', 'chromosome 1 open reading frame 117', 'C1orf117']"
FAM133A,"['family with sequence similarity 133, member A', 'RP1-32F7.2', 'FLJ37659', 'CT115', 'cancer/testis antigen 115', 'Protein FAM133A']"
FAM133B,"['family with sequence similarity 133, member B', 'MGC40405', 'Protein FAM133B']"
FAM135A,"['family with sequence similarity 135, member A', 'FLJ20176', 'KIAA1411', 'Protein FAM135A']"
FAM135B,"['family with sequence similarity 135, member B', 'C8ORFK32', 'Protein FAM135B']"
FAM136A,"['family with sequence similarity 136, member A', 'hypothetical protein FLJ14668']"
FAM13A,"['family with sequence similarity 13, member A1', 'KIAA0914', 'ARHGAP48', 'FAM13A1_v2 protein']"
FAM13B,"['family with sequence similarity 13, member B1', 'N61', 'KHCHP', 'ARHGAP49', 'chromosome 5 open reading frame 5', 'C5orf5', 'Protein FAM13B', 'GAP-like protein N61']"
FAM13C,"['family with sequence similarity 13, member C1', 'Protein FAM13C']"
FAM149A,"['family with sequence similarity 149, member A', 'DKFZP564J102', 'MSTP119', 'Protein FAM149A']"
FAM149B1,"['family with sequence similarity 149, member B1', 'KIAA0974', 'JBTS36', 'Primary cilium assembly protein FAM149B1']"
FAM151A,"['family with sequence similarity 151, member A', 'hyporthetical protein MGC27169', 'chromosome 1 open reading frame 179', 'C1orf179']"
FAM151B,"['family with sequence similarity 151, member B', 'AASA9217', 'Protein FAM151B']"
FAM153A,"['family with sequence similarity 153, member A', 'NY REN 7 antigen', 'Renal carcinoma antigen NY-REN-7', 'Protein FAM153A', 'KIAA0752']"
FAM153B,"['family with sequence similarity 153, member B', 'Protein FAM153B']"
FAM156A,"['family with sequence similarity 156, member A', 'PRO0659', 'Transmembrane protein 29/29B', 'TMEM29B', 'Protein FAM156A/FAM156B', 'transmembrane protein 29']"
FAM156B,"['family with sequence similarity 156, member B', 'Transmembrane protein 29/29B', 'transmembrane protein 29B', 'Protein FAM156A/FAM156B', 'transmembrane protein 29', 'TMEM29B']"
FAM161A,"['FAM161 centrosomal protein A', 'FLJ13305', 'retinitis pigmentosa 28 (autosomal recessive)', 'family with sequence similarity 161, member A', 'RP28']"
FAM161B,"['chromosome 14 open reading frame 44', 'FLJ31697', 'family with sequence similarity 161, member B', 'FAM161 centrosomal protein B', 'C14orf44']"
FAM162A,"['family with sequence similarity 162, member A', 'E2IG5', 'chromosome 3 open reading frame 28', 'C3orf28', 'HGTD-P', 'Growth and transformation-dependent protein', 'HIF-1 alpha-responsive proapoptotic molecule']"
FAM162B,"['family with sequence similarity 162, member B', 'bA86F4.2', 'chromosome 6 open reading frame 189', 'C6orf189', 'Protein FAM162B']"
FAM163A,"['family with sequence similarity 163, member A', 'MGC16664', 'NDSP', 'Neuroblastoma-derived secretory protein', 'Cebelin', 'chromosome 1 open reading frame 76', 'C1orf76']"
FAM163B,"['family with sequence similarity 163, member B', 'cebelin-like', 'chromosome 9 open reading frame 166', 'C9orf166']"
FAM166A,"['family with sequence similarity 166, member A', 'HSD46', 'Protein FAM166A']"
FAM166B,"['family with sequence similarity 166, member B', 'Protein FAM166B']"
FAM166C,"['Family with sequence similarity 166 member C', 'hypothetical protein LOC339778', 'chromosome 2 open reading frame 70', 'UPF0573 protein C2orf70']"
FAM167A,"['family with sequence similarity 167, member A', 'disordered autoimmunity 1', 'chromosome 8 open reading frame 13', 'C8orf13', 'D8S265']"
FAM167B,"['family with sequence similarity 167, member B', 'MGC10820', 'disordered autoimmunity 2', 'chromosome 1 open reading frame 90', 'C1orf90', 'Protein FAM167B']"
FAM168A,"['family with sequence similarity 168, member A', 'TCRP1', 'Tongue cancer chemotherapy resistance-associated protein 1', 'KIAA0280', 'Protein FAM168A']"
FAM168B,"['family with sequence similarity 168, member B', 'KIAA0280L', 'Myelin-associated neurite-outgrowth inhibitor', 'protein FAM168B', 'p20']"
FAM169A,"['family with sequence similarity 169, member A', 'KIAA0888', 'SLAP75', 'Soluble lamin-associated protein of 75 kDa', 'Protein FAM169A']"
FAM170A,"['family with sequence similarity 170, member A', 'ZNFD', 'Zinc finger protein ZNFD', 'Zinc finger domain-containing protein']"
FAM170B,"['family with sequence similarity 170, member B', 'AC084727.4', 'chromosome 10 open reading frame 73', 'C10orf73', 'putative protein FAM170B']"
FAM171A1,"['family with sequence similarity 171, member A1', 'FLJ12884', 'Astroprincin', 'chromosome 10 open reading frame 38', 'C10orf38', 'Protein FAM171A1']"
FAM171A2,"['family with sequence similarity 171, member A2', 'MGC34829', 'Protein FAM171A2']"
FAM171B,"['family with sequence similarity 171, member B', 'FLJ34104', 'KIAA1946', 'Protein FAM171B']"
FAM172A,"['family with sequence similarity 172, member A', 'DKFZP564D172', 'Cotranscriptional regulator FAM172A', 'C5orf21']"
FAM174A,"['family with sequence similarity 174, member A', 'UNQ1912', 'NS5ATP6', 'hepatitis C virus nonstructural protein 5A trans-activated protein 6', 'Hepatitis C virus NS5A-transactivated protein 6', 'HGS_RE408', 'Transmembrane protein 157', 'HCV NS5A-transactivated protein 6']"
FAM174B,"['family with sequence similarity 174, member B', 'LOC400451', 'MGC102891', 'Membrane protein FAM174B']"
FAM174C,"['family with sequence similarity 174 member C', 'FLJ20640', 'chromosome 19 open reading frame 24', 'C19orf24', 'Protein FAM174C']"
FAM177A1,"['family with sequence similarity 177, member A1', 'chromosome 14 open reading frame 24', 'C14orf24', 'Protein FAM177A1']"
FAM177B,"['family with sequence similarity 177, member B', 'RP11-452F19.2', 'FLJ43505', 'Protein FAM177B']"
FAM178B,"['family with sequence similarity 178, member B', 'LOC51252', 'Protein FAM178B']"
FAM180A,"['family with sequence similarity 180, member A', 'HWKM1940', 'Protein FAM180A']"
FAM180B,"['family with sequence similarity 180, member B', 'LOC399888', 'hypothetical gene supported by BC065704', 'Protein FAM180B']"
FAM181A,"['family with sequence similarity 181, member A', 'chromosome 14 open reading frame 152', 'C14orf152', 'Protein FAM181A']"
FAM181B,"['family with sequence similarity 181, member B', 'LOC220382', 'MGC33846', 'Protein FAM181B']"
FAM183A,"['family with sequence similarity 183, member A', 'LOC440585', 'hCG23177', 'Protein FAM183A']"
FAM184A,"['family with sequence similarity 184, member A', 'FLJ13942', 'chromosome 6 open reading frame 60', 'C6orf60', 'Protein FAM184A']"
FAM184B,"['family with sequence similarity 184, member B', 'KIAA1276', 'Protein FAM184B']"
FAM185A,"['family with sequence similarity 185, member A', 'MGC35361', 'Protein FAM185A']"
FAM186A,"['family with sequence similarity 186, member A', 'LOC121006', 'Protein FAM186A']"
FAM186B,"['family with sequence similarity 186, member B', 'DKFZP434J0113', 'chromosome 12 open reading frame 25', 'C12orf25', 'Protein FAM186B']"
FAM187A,"['family with sequence similarity 187, member A', 'Ig-like V-type domain-containing protein FAM187A']"
FAM187B,"['family with sequence similarity 187, member B', 'FLJ25660', 'Transmembrane protein 162']"
FAM189A1,"['family with sequence similarity 189, member A1', 'KIAA0574', 'Transmembrane protein 228']"
FAM189A2,"['family with sequence similarity 189, member A2', 'Protein X123', 'chromosome 9 open reading frame 61', 'C9orf61', 'Protein FAM189A2', 'Friedreich ataxia region gene X123']"
FAM189B,"['family with sequence similarity 189, member B', 'Protein COTE1', 'chromosome 1 open reading frame 2', 'C1orf2', 'Protein FAM189B']"
FAM193A,"['family with sequence similarity 193, member A', 'RES4-22', 'chromosome 4 open reading frame 8', 'C4orf8', 'Protein FAM193A']"
FAM193B,"['family with sequence similarity 193, member B', 'Protein FAM193B', 'FLJ10404', 'IRIZIO']"
FAM199X,"['family with sequence similarity 199, X-linked', 'chromosome X open reading frame 39', 'CXorf39']"
FAM200A,"['family with sequence similarity 200, member A', 'FLJ36794', 'DKFZp727G131', 'chromosome 7 open reading frame 38', 'C7orf38', 'Protein FAM200A']"
FAM200B,"['family with sequence similarity 200, member B', 'C4orf53', 'chromosome 4 open reading frame 53', 'Putative protein FAM200B']"
FAM204A,"['family with sequence similarity 204, member A', 'FLJ13188', 'bA319I23.1', 'chromosome 10 open reading frame 84', 'C10orf84', 'Protein FAM204A']"
FAM205A,"['family with sequence similarity 205, member A', 'transmembrane protein C9orf144B', 'Protein FAM205A']"
FAM205C,"['putative family with sequence similarity 205, member C protein', 'FAM205C pseudogene', 'family with sequence similarity 205, member C, pseudogene']"
FAM209A,"['family with sequence similarity 209, member A', 'dJ1153D9.3', 'chromosome 20 open reading frame 106', 'uncharacterized protein C20orf106']"
