"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"CIAPIN1",7.49005776658408,7.54923294424381,7.50304448706042,7.18459786732949,7.03545215253582,7.39192276073052,7.49005776658408,7.54923294424381,7.50304448706042,7.18459786732949,7.03545215253582,7.39192276073052
"PSMC3",10.5151077245071,10.4347540094227,10.3344630206529,10.5257766959104,10.3998866197399,10.2966090017513,10.5151077245071,10.4347540094227,10.3344630206529,10.5257766959104,10.3998866197399,10.2966090017513
"VPS35L",10.8703289125961,10.910078115634,10.8966927919309,10.8659102801344,10.694595553378,10.8399840717997,10.8703289125961,10.910078115634,10.8966927919309,10.8659102801344,10.694595553378,10.8399840717997
"PDXP",9.90830402121454,9.93427047166042,9.82384799523916,10.0418542785797,9.95323313759112,9.99814351718778,9.90830402121454,9.93427047166042,9.82384799523916,10.0418542785797,9.95323313759112,9.99814351718778
"SLC17A7",7.20894318436723,7.29622531680004,6.95196765559842,7.27556550167573,7.17304076657778,7.21753430775803,7.20894318436723,7.29622531680004,6.95196765559842,7.27556550167573,7.17304076657778,7.21753430775803
"RSRP1",8.85679338709875,9.20648688079438,9.29005884934027,8.96655489314337,9.06596820867106,9.06276777227073,8.85679338709875,9.20648688079438,9.29005884934027,8.96655489314337,9.06596820867106,9.06276777227073
"ANKMY2",7.99241561207366,8.12750466194711,8.34654700802882,8.18563437279882,8.33448610006258,8.08799757839966,7.99241561207366,8.12750466194711,8.34654700802882,8.18563437279882,8.33448610006258,8.08799757839966
"RARS2",9.74290758755891,9.81256397319564,9.90117678935713,9.6794602524431,9.65928902213081,9.65997752788847,9.74290758755891,9.81256397319564,9.90117678935713,9.6794602524431,9.65928902213081,9.65997752788847
"PSMC4",12.239042348506,12.1045610675042,12.0313751639257,12.0866239056731,11.9880443380759,12.0616340991355,12.239042348506,12.1045610675042,12.0313751639257,12.0866239056731,11.9880443380759,12.0616340991355
"TWSG1",11.1820023971112,11.3370955624758,11.2003484569791,11.2248113284361,11.2765169239382,11.1036486965683,11.1820023971112,11.3370955624758,11.2003484569791,11.2248113284361,11.2765169239382,11.1036486965683
